timestamp,bufferLevel,qualityIndex,bitrateKbps,resolution,liveLatency,predictedKbps,rebuffer
2025-12-18T08:30:20.653Z,0,2,1000,640x360,1.8965,,
2025-12-18T08:30:20.659Z,0,2,1000,640x360,1.8965,,rebuffer happen
2025-12-18T08:30:20.685Z,0.1,2,1000,640x360,1.895874,,rebuffer happen
2025-12-18T08:30:20.985Z,0.209,2,1000,640x360,2.0353399999999997,,
2025-12-18T08:30:21.281Z,0.221,1,600,480x270,1.880053,NaN,
2025-12-18T08:30:21.283Z,0.018,1,600,480x270,1.880053,NaN,rebuffer happen
2025-12-18T08:30:21.568Z,0.118,1,600,480x270,1.9620529999999998,NaN,
2025-12-18T08:30:21.570Z,0.424,1,600,480x270,2.0742100000000003,NaN,rebuffer happen
2025-12-18T08:30:21.800Z,0.674,1,600,480x270,2.0249040000000003,NaN,
2025-12-18T08:30:21.992Z,0.968,1,600,480x270,2.028797,NaN,
2025-12-18T08:30:22.212Z,1.189,1,600,480x270,1.987349,NaN,
2025-12-18T08:30:22.386Z,1.441,1,600,480x270,2.03111,NaN,
2025-12-18T08:30:22.571Z,1.866,1,600,480x270,2.030344,NaN,
2025-12-18T08:30:23.180Z,1.745,1,600,480x270,1.991505,NaN,
2025-12-18T08:30:23.555Z,1.945,1,600,480x270,1.9329110000000003,NaN,
2025-12-18T08:30:23.974Z,1.936,1,600,480x270,1.9988229999999998,NaN,
2025-12-18T08:30:24.262Z,2.179,1,600,480x270,2.0122690000000003,NaN,
2025-12-18T08:30:24.466Z,2.168,2,1000,640x360,1.9063790000000003,NaN,
2025-12-18T08:30:24.897Z,2.012,2,1000,640x360,1.9656389999999995,NaN,
2025-12-18T08:30:25.408Z,2.013,2,1000,640x360,1.9563230000000003,NaN,
2025-12-18T08:30:25.952Z,1.979,2,1000,640x360,1.908315,NaN,
2025-12-18T08:30:26.464Z,1.978,2,1000,640x360,2.0100059999999997,NaN,
2025-12-18T08:30:26.932Z,1.991,2,1000,640x360,1.9403349999999993,NaN,
2025-12-18T08:30:27.453Z,1.985,2,1000,640x360,1.929247000000001,NaN,
2025-12-18T08:30:27.923Z,2.005,2,1000,640x360,1.9504890000000001,NaN,
2025-12-18T08:30:28.431Z,1.989,2,1000,640x360,1.93898,NaN,
2025-12-18T08:30:28.935Z,1.985,2,1000,640x360,1.9288860000000003,NaN,
2025-12-18T08:30:29.443Z,1.975,2,1000,640x360,1.9223909999999993,NaN,
2025-12-18T08:30:29.927Z,1.985,2,1000,640x360,1.9397140000000004,NaN,
2025-12-18T08:30:30.447Z,1.982,2,1000,640x360,1.9308379999999996,NaN,
2025-12-18T08:30:30.938Z,1.974,2,1000,640x360,1.9279469999999996,NaN,
2025-12-18T08:30:31.421Z,2,2,1000,640x360,1.9685699999999997,NaN,
2025-12-18T08:30:31.929Z,1.997,2,1000,640x360,1.938255999999999,NaN,
2025-12-18T08:30:32.451Z,1.96,2,1000,640x360,1.9086739999999995,NaN,
2025-12-18T08:30:32.935Z,1.974,2,1000,640x360,1.9257600000000004,NaN,
2025-12-18T08:30:33.374Z,2.04,2,1000,640x360,1.9957709999999995,NaN,
2025-12-18T08:30:33.882Z,2.034,2,1000,640x360,1.9794450000000001,NaN,
2025-12-18T08:30:34.405Z,2.015,2,1000,640x360,1.962586,NaN,
2025-12-18T08:30:34.898Z,2.01,2,1000,640x360,1.9615359999999988,NaN,
2025-12-18T08:30:35.473Z,1.935,2,1000,640x360,2.0022600000000015,NaN,
2025-12-18T08:30:35.861Z,2.05,2,1000,640x360,2.0035229999999995,NaN,
2025-12-18T08:30:36.368Z,2.063,2,1000,640x360,2.0091279999999987,NaN,
2025-12-18T08:30:36.883Z,2.043,2,1000,640x360,1.9940840000000009,1332,
2025-12-18T08:30:37.382Z,2.043,2,1000,640x360,1.989304999999998,1355,
2025-12-18T08:30:37.882Z,2.025,2,1000,640x360,1.984496,1327,
2025-12-18T08:30:38.388Z,2.028,2,1000,640x360,1.971299000000002,1330,
2025-12-18T08:30:38.886Z,2.019,2,1000,640x360,1.9768930000000005,1322,
